CODIGO	EXTENSAO	CATEGORIA	NOME_CURTO	NOME_OFICIAL	VIGENTE_DESDE
5960		COFINS	Retenção sobre Pagamentos de Pessoa Jurídica a Pessoa Jurídica de Direito Privad	Cofins - Retenção sobre Pagamentos de Pessoa Jurídica a Pessoa Jurídica de Direito Privado (art. 30 da Lei nº 10.833/2003)	01/02/2004
6243		COFINS	Retenção na Fonte sobre Pagamento à Pessoa Jurídica (art. 34 da Lei nº 10.833/20	Cofins - Retenção na Fonte sobre Pagamento à Pessoa Jurídica (art. 34 da Lei nº 10.833/2003)	01/01/1997
6840		COFINS	Combustíveis	Cofins - Combustíveis	16/01/2003
7403		COFINS	Simples	Cofins - Simples	01/01/1997
7498		COFINS	Depósito Judicial	Cofins - Depósito Judicial	26/11/1998
7650		COFINS	Depósito Administrativo	Cofins - Depósito Administrativo	26/11/1998
7784		COFINS	Trans Navios	Cofins - Trans Navios	26/11/1998
7987		COFINS	Entidades Financeiras e Equiparadas	Cofins - Entidades Financeiras e Equiparadas	01/02/1999
8645		COFINS	Fabricação e Importação de Veículos em Substituição Tributária	Cofins - Fabricação e Importação de Veículos em Substituição Tributária	26/05/2000
2096		CP_DCTFWEB	Segurados - Contribuição Segurados - Lançamento de Ofício	CP Segurados - Contribuição Segurados - Lançamento de Ofício	01/08/2011
2141		CP_DCTFWEB	Patronal - Contribuição Empresa/Empregador - Lançamento de Ofício	CP Patronal - Contribuição Empresa/Empregador - Lançamento de Ofício	01/08/2011
2226		CP_DCTFWEB	Segurado - Depósito Judicial	Contribuição Segurado - Depósito Judicial	01/08/2011
2300		CP_DCTFWEB	Empresa/Empregador - Depósito Judicial	Contribuição Empresa/Empregador - Depósito Judicial	01/08/2011
2619		CP_DCTFWEB	Segurado - Depósito Administrativo	Contribuição Segurado - Depósito Administrativo	01/08/2011
2625		CP_DCTFWEB	Empresa/Empregador - Depósito Administrativo	Contribuição Empresa/Empregador - Depósito Administrativo	01/08/2011
2985		CP_DCTFWEB	Previdenciária Sobre Receita Bruta - Art. 7º da Lei 12.546/2011	Contribuição Previdenciária Sobre Receita Bruta - Art. 7º da Lei 12.546/2011	05/12/2011
2991		CP_DCTFWEB	Previdenciária Sobre Receita Bruta - Art. 8º da Lei 12.546/2011	Contribuição Previdenciária Sobre Receita Bruta - Art. 8º da Lei 12.546/2011	05/12/2011
3601		CP_DCTFWEB	Previdenciária Sobre a Receita Bruta - Lançamento de Ofício	Contribuição Previdenciária Sobre a Receita Bruta - Lançamento de Ofício	10/04/2013
4857		CP_DCTFWEB	Previdenciária sobre a Receita Bruta de Associações Desportivas que Mantêm Equip	Contribuição Previdenciária sobre a Receita Bruta de Associações Desportivas que Mantêm Equipe de Futebol Profissional em Substituição à Contribuição Patronal -Lançamento de Ofício	11/11/2014
4863		CP_DCTFWEB	Previdenciária sobre a Comercialização da Produção Rural - Lançamento de Ofício	Contribuição Previdenciária sobre a Comercialização da Produção Rural - Lançamento de Ofício	11/11/2014
4948		CP_DCTFWEB	Segurado - RGPS-Precatório e Requisição de Pequeno Valor	CP Segurado - RGPS-Precatório e Requisição de Pequeno Valor	16/06/2026
4977		CP_DCTFWEB	Patronal - RGPS-Precatório e Requisição de Pequeno Valor	CP Patronal - RGPS-Precatório e Requisição de Pequeno Valor	16/06/2026
5041		CP_DCTFWEB	Previdenciária sobre a Folha de Pagamento de Benefícios do Regime Geral de Previ	Contribuição Previdenciária sobre a Folha de Pagamento de Benefícios do Regime Geral de Previdência Social	31/03/2015
0190		IRPF	Carnê Leão	IRPF - Carnê Leão	—
0211		IRPF	Declaração de Ajuste Anual, Declaração de Saída Definitiva do País e Declaração 	IRPF - Declaração de Ajuste Anual, Declaração de Saída Definitiva do País e Declaração Final de Espólio	—
0246		IRPF	Complementação Mensal	IRPF - Complementação Mensal	—
1054		IRPF	Devolução Restituição Indevida - Tributário	IRPF - Devolução Restituição Indevida - Tributário	—
2904		IRPF	Lançamento de Ofício	IRPF - Lançamento de Ofício	—
4181		IRPF	Cobrança	IRPF - Cobrança	—
4600		IRPF	Ganhos de Capital na Alienação de Bens Duráveis	IRPF - Ganhos de Capital na Alienação de Bens Duráveis	—
6015		IRPF	Ganhos Líquidos em Operações em Bolsa	IRPF - Ganhos Líquidos em Operações em Bolsa	—
6313		IRPF	Prêmio Líquido - Loteria de Apostas de Quota Fixa e Fantasy Sport	IRPF - Prêmio Líquido - Loteria de Apostas de Quota Fixa e Fantasy Sport	10/05/2024
6371		IRPF	Ganho de Capital de Depósito em Conta Corrente, Cartão de Crédito ou Débito no E	IRPF - Ganho de Capital de Depósito em Conta Corrente, Cartão de Crédito ou Débito no Exterior	07/06/2024
6456		IRPF	Atualização do Valor de Bens Imóveis	IRPF - Atualização do Valor de Bens Imóveis	25/09/2024
